Laiks,Pulss_BPM,RR_Intervali_ms,Stavoklis
20:36:16,94,"[472, 281]",MIERS
20:36:17,94,[621],MIERS
20:36:19,94,[],MIERS
20:36:19,94,[],MIERS
20:36:20,94,[3312],MIERS
20:36:21,94,"[804, 507]",MIERS
20:36:22,94,[],MIERS
20:36:23,94,[],MIERS
20:36:24,94,[3101],MIERS
20:36:25,94,[730],MIERS
20:36:26,94,"[1011, 296]",MIERS
20:36:27,94,[339],MIERS
20:36:29,94,[],MIERS
20:36:30,94,"[2187, 679]",MIERS
20:36:30,94,[1003],MIERS
20:36:31,94,[671],MIERS
20:36:32,94,"[488, 343, 370]",MIERS
20:36:34,94,"[238, 718]",MIERS
20:36:34,94,"[535, 351]",MIERS
20:36:37,94,"[624, 382]",MIERS
20:36:38,94,[],MIERS
20:36:38,94,[],MIERS
20:36:38,94,[2582],MIERS
20:36:39,94,[1441],MIERS
20:36:40,94,[],MIERS
20:36:41,94,[1550],MIERS
20:36:42,94,"[1019, 616]",MIERS
20:36:43,94,[570],MIERS
20:36:44,94,"[738, 562]",MIERS
20:36:45,94,[],MIERS
20:36:46,94,[2148],MIERS
20:36:47,94,[],MIERS
20:36:48,94,[1839],MIERS
20:36:49,94,[945],MIERS
20:36:50,94,"[523, 405, 343]",MIERS
20:36:51,94,[750],MIERS
20:36:52,94,[],MIERS
20:36:53,94,[],MIERS
20:36:54,94,[],MIERS
20:36:55,94,[],MIERS
20:36:56,94,[734],MIERS
20:36:57,94,[1035],MIERS
20:36:58,94,[],MIERS
20:36:59,94,"[1914, 496]",MIERS
20:37:00,94,[],MIERS
20:37:01,94,[],MIERS
20:37:03,94,"[2234, 394]",MIERS
20:37:04,94,[1316],MIERS
20:37:08,94,[468],MIERS
20:37:08,94,[1500],MIERS
20:37:10,94,[667],MIERS
20:37:10,94,[1390],MIERS
20:37:10,94,"[500, 226]",MIERS
20:37:10,94,[],MIERS
20:37:10,94,[],MIERS
20:37:11,94,[2960],MIERS
20:37:13,94,[],MIERS
20:37:13,94,[],MIERS
20:37:17,94,[2929],MIERS
20:37:17,94,"[707, 535]",MIERS
20:37:18,94,"[722, 316]",MIERS
20:37:19,94,[503],MIERS
20:37:21,94,[1101],MIERS
20:37:21,94,[],MIERS
20:37:21,94,[2503],MIERS
20:37:21,94,[871],MIERS
20:37:22,94,[414],MIERS
20:37:23,94,"[1273, 496]",MIERS
20:37:24,94,[],MIERS
20:37:25,94,[1105],MIERS
20:37:26,94,[],MIERS
20:37:27,94,[2136],MIERS
20:37:28,94,[1070],MIERS
20:37:29,94,"[812, 539]",MIERS
20:37:30,94,[],MIERS
20:37:31,94,[1511],MIERS
20:37:32,94,[1574],MIERS
20:37:35,94,"[592, 312]",MIERS
20:37:35,94,[902],MIERS
20:37:37,94,[605],MIERS
20:37:38,94,[1289],MIERS
20:37:39,94,[],MIERS
20:37:39,94,[],MIERS
20:37:40,94,[],MIERS
20:37:42,94,[596],MIERS
20:37:42,94,[],MIERS
20:37:42,94,[1507],MIERS
20:38:48,94,[],MIERS
20:38:49,94,[],MIERS
20:38:51,94,[],MIERS
20:38:52,94,[],MIERS
20:38:53,94,[],MIERS
20:38:54,94,[],MIERS
20:40:13,82,[722],MIERS
20:40:14,81,"[761, 777]",MIERS
